Name,Gender,Price,Sale Price,Colors,Item Link,Image Link,Subcategory,Store
North Western Beanie 3-Pack,Men,$24.99,$10.00,Burgundy || ,https://blnts.com//products/0879-62362003-north-western-beanie-3-pack,https://cdn.shopify.com/s/files/1/1981/3329/products/087962362003-84_270x400_crop_center.jpg?v=1604602684,Beanie,Bluenotes
North Western Logo Beanie,Men,$14.99,$6.00,Black || Grey || Burgundy || ,https://blnts.com//products/0879-52962006-north-western-logo-beanie,https://cdn.shopify.com/s/files/1/1981/3329/products/087952962006-01_270x400_crop_center.jpg?v=1604508583,Beanie,Bluenotes
North Western Slouch Beanie,Men,$9.99,$4.00,Black || ,https://blnts.com//products/0879-62362014-north-western-slouch-beanie,https://cdn.shopify.com/s/files/1/1981/3329/products/087962362014-01_270x400_crop_center.jpg?v=1604418915,Beanie,Bluenotes
North Western Beanie,Men,$9.99,$4.00,Yellow || Black || Grey || Tan || Lt Green || Orange || ,https://blnts.com//products/0879-62362013-north-western-beanie,https://cdn.shopify.com/s/files/1/1981/3329/products/087962362013-71_270x400_crop_center.jpg?v=1606825850,Beanie,Bluenotes
Rivet Belt,Men,$19.99,$10.00,Black || Brown || ,https://blnts.com//products/6480-52962006-rivet-belt,https://cdn.shopify.com/s/files/1/1981/3329/products/648052962006-01-0_270x400_crop_center.jpg?v=1600953457,Belt,Bluenotes
Top Stitch Belt,Men,$19.99,$10.00,Brown || Black || ,https://blnts.com//products/6480-52962005-top-stitch-belt,https://cdn.shopify.com/s/files/1/1981/3329/products/648052962005-20_270x400_crop_center.jpg?v=1600956998,Belt,Bluenotes
Middle Stitch Belt,Men,$19.99,$10.00,Tan || Black || ,https://blnts.com//products/6480-52962004-middle-stitch-belt,https://cdn.shopify.com/s/files/1/1981/3329/products/648052962004-24-0_270x400_crop_center.jpg?v=1600953430,Belt,Bluenotes
Web Belt,Men,$19.99,$10.00,Mixed || Black || ,https://blnts.com//products/6480-52962002-web-belt,https://cdn.shopify.com/s/files/1/1981/3329/products/648052962002-95-0_270x400_crop_center.jpg?v=1600953430,Belt,Bluenotes
Clear-lens Eyeglasses,men,$12.99,N/A,Gold-colored,https://www2.hm.com/en_ca/productpage.0731616001.html,"https://lp2.hm.com/hmgoepprod?set=source[/5b/a0/5ba09ea1e62fd38a1a67cdf5f5f85253993bb5c9.jpg],origin[dam],category[men_accessories_other],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",eyeglasses,H&M
Felted Hat,men,$19.99,N/A,Black,https://www2.hm.com/en_ca/productpage.0375917001.html,"https://lp2.hm.com/hmgoepprod?set=source[/52/41/524154ed4440c6fa95df55a8c60f9894fe7d674d.jpg],origin[dam],category[men_accessories_hatsandgloves],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",hat,H&M
